Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C5, C6, C7, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,10,100n,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,BAT43,
"D3, D4, D5",LED_D3.0mm,3,LED,
J1,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J2,RCBus_80p_Medium,1,RCBus_80PIN_68000,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"R1, R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,1K,
RN1,R_Array_SIP9,1,4K7,
RN2,R_Array_SIP9,1,10K,
U1,PLCC-68_THT-Socket,1,MC68000FN,
U2,DIP-14_W7.62mm_Socket,1,74LS125,
U3,DIP-16_W7.62mm_Socket,1,74LS148,
U4,DIP-14_W7.62mm_Socket,1,74LS10,
U5,DIP-16_W7.62mm_Socket,1,74LS139,
"U6, U8",DIP-16_W7.62mm_Socket,2,74LS175,
U9,DIP-14_W7.62mm_Socket,1,74LS00,
X1,Oscillator_DIP-8,1,CXO_DIP8,
